ano,sigla_uf,id_municipio,produto,area_plantada,area_colhida,quantidade_produzida,rendimento_medio,valor_producao,prop_area_plantada,prop_area_colhida,prop_valor_producao
2010,AP,1600212,Dendê (cacho de coco),,,,,,,,
2010,AP,1600212,Erva-mate (folha verde),,,,,,,,
2010,AP,1600212,Figo,,,,,,,,
2010,AP,1600212,Goiaba,,,,,,,,
2010,AP,1600212,Guaraná (semente),,,,,,,,
2010,AP,1600212,Laranja,,,,,,,,
2010,AP,1600212,Limão,,,,,,,,
2010,AP,1600212,Maçã,,,,,,,,
2010,AP,1600212,Mamão,,,,,,,,
2010,AP,1600212,Manga,,,,,,,,
2010,AP,1600212,Maracujá,,,,,,,,
2010,AP,1600212,Marmelo,,,,,,,,
2010,AP,1600212,Noz (fruto seco),,,,,,,,
2010,AP,1600212,Palmito,,,,,,,,
2010,AP,1600212,Pera,,,,,,,,
2010,AP,1600212,Pêssego,,,,,,,,
2010,AP,1600212,Pimenta-do-reino,,,,,,,,
2010,AP,1600212,Sisal ou agave (fibra),,,,,,,,
2010,AP,1600212,Tangerina,,,,,,,,
2010,AP,1600212,Tungue (fruto seco),,,,,,,,
2010,AP,1600212,Urucum (semente),,,,,,,,
2010,AP,1600212,Uva,,,,,,,,
2010,AP,1600238,Abacate,,,,,,,,
2010,AP,1600238,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600238,Açaí,,,,,,,,
2010,AP,1600238,Azeitona,,,,,,,,
2010,AP,1600238,Banana (cacho),70,70,234,3342,292,73.68,73.68,57.71
2010,AP,1600238,Borracha (látex coagulado),,,,,,,,
2010,AP,1600238,Borracha (látex líquido),,,,,,,,
2010,AP,1600238,Cacau (em amêndoa),,,,,,,,
2010,AP,1600238,Café (em grão) Total,,,,,,,,
2010,AP,1600238,Café (em grão) Arábica,,,,,,,,
2010,AP,1600238,Café (em grão) Canephora,,,,,,,,
2010,AP,1600238,Caju,,,,,,,,
2010,AP,1600238,Caqui,,,,,,,,
2010,AP,1600238,Castanha de caju,,,,,,,,
2010,AP,1600238,Chá-da-índia (folha verde),,,,,,,,
2010,AP,1600238,Coco-da-baía,,,,,,,,
2010,AP,1600238,Dendê (cacho de coco),,,,,,,,
2010,AP,1600238,Erva-mate (folha verde),,,,,,,,
2010,AP,1600238,Figo,,,,,,,,
2010,AP,1600238,Goiaba,,,,,,,,
2010,AP,1600238,Guaraná (semente),,,,,,,,
2010,AP,1600238,Laranja,25,25,192,7680,214,26.32,26.32,42.29
2010,AP,1600238,Limão,,,,,,,,
2010,AP,1600238,Maçã,,,,,,,,
2010,AP,1600238,Mamão,,,,,,,,
2010,AP,1600238,Manga,,,,,,,,
2010,AP,1600238,Maracujá,,,,,,,,
2010,AP,1600238,Marmelo,,,,,,,,
2010,AP,1600238,Noz (fruto seco),,,,,,,,
2010,AP,1600238,Palmito,,,,,,,,
2010,AP,1600238,Pera,,,,,,,,
2010,AP,1600238,Pêssego,,,,,,,,
2010,AP,1600238,Pimenta-do-reino,,,,,,,,
2010,AP,1600238,Sisal ou agave (fibra),,,,,,,,
2010,AP,1600238,Tangerina,,,,,,,,
2010,AP,1600238,Tungue (fruto seco),,,,,,,,
2010,AP,1600238,Urucum (semente),,,,,,,,
2010,AP,1600238,Uva,,,,,,,,
2010,AP,1600253,Abacate,,,,,,,,
2010,AP,1600253,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600253,Açaí,,,,,,,,
2010,AP,1600253,Azeitona,,,,,,,,
2010,AP,1600253,Banana (cacho),33,33,137,4151,137,100.0,100.0,100.0
2010,AP,1600253,Borracha (látex coagulado),,,,,,,,
2010,AP,1600253,Borracha (látex líquido),,,,,,,,
2010,AP,1600253,Cacau (em amêndoa),,,,,,,,
2010,AP,1600253,Café (em grão) Total,,,,,,,,
2010,AP,1600253,Café (em grão) Arábica,,,,,,,,
2010,AP,1600253,Café (em grão) Canephora,,,,,,,,
2010,AP,1600253,Caju,,,,,,,,
2010,AP,1600253,Caqui,,,,,,,,
2010,AP,1600253,Castanha de caju,,,,,,,,
2010,AP,1600253,Chá-da-índia (folha verde),,,,,,,,
2010,AP,1600253,Coco-da-baía,,,,,,,,
2010,AP,1600253,Dendê (cacho de coco),,,,,,,,
2010,AP,1600253,Erva-mate (folha verde),,,,,,,,
2010,AP,1600253,Figo,,,,,,,,
2010,AP,1600253,Goiaba,,,,,,,,
2010,AP,1600253,Guaraná (semente),,,,,,,,
2010,AP,1600253,Laranja,,,,,,,,
2010,AP,1600253,Limão,,,,,,,,
2010,AP,1600253,Maçã,,,,,,,,
2010,AP,1600253,Mamão,,,,,,,,
2010,AP,1600253,Manga,,,,,,,,
2010,AP,1600253,Maracujá,,,,,,,,
2010,AP,1600253,Marmelo,,,,,,,,
2010,AP,1600253,Noz (fruto seco),,,,,,,,
2010,AP,1600253,Palmito,,,,,,,,
2010,AP,1600253,Pera,,,,,,,,
2010,AP,1600253,Pêssego,,,,,,,,
2010,AP,1600253,Pimenta-do-reino,,,,,,,,
2010,AP,1600253,Sisal ou agave (fibra),,,,,,,,
2010,AP,1600253,Tangerina,,,,,,,,
2010,AP,1600253,Tungue (fruto seco),,,,,,,,
2010,AP,1600253,Urucum (semente),,,,,,,,
2010,AP,1600253,Uva,,,,,,,,
2010,AP,1600279,Abacate,,,,,,,,
2010,AP,1600279,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600279,Açaí,,,,,,,,
2010,AP,1600279,Azeitona,,,,,,,,
2010,AP,1600279,Banana (cacho),143,142,550,3873,726,60.85,60.68,60.0
2010,AP,1600279,Borracha (látex coagulado),,,,,,,,
2010,AP,1600279,Borracha (látex líquido),,,,,,,,
2010,AP,1600279,Cacau (em amêndoa),,,,,,,,
2010,AP,1600279,Café (em grão) Total,,,,,,,,
2010,AP,1600279,Café (em grão) Arábica,,,,,,,,
2010,AP,1600279,Café (em grão) Canephora,,,,,,,,
2010,AP,1600279,Caju,,,,,,,,
2010,AP,1600279,Caqui,,,,,,,,
2010,AP,1600279,Castanha de caju,,,,,,,,
2010,AP,1600279,Chá-da-índia (folha verde),,,,,,,,
2010,AP,1600279,Coco-da-baía,,,,,,,,
2010,AP,1600279,Dendê (cacho de coco),,,,,,,,
2010,AP,1600279,Erva-mate (folha verde),,,,,,,,
2010,AP,1600279,Figo,,,,,,,,
2010,AP,1600279,Goiaba,,,,,,,,
2010,AP,1600279,Guaraná (semente),,,,,,,,
2010,AP,1600279,Laranja,70,70,520,7428,286,29.79,29.91,23.64
2010,AP,1600279,Limão,,,,,,,,
2010,AP,1600279,Maçã,,,,,,,,
2010,AP,1600279,Mamão,,,,,,,,
2010,AP,1600279,Manga,,,,,,,,
2010,AP,1600279,Maracujá,22,22,118,5363,198,9.36,9.4,16.36
2010,AP,1600279,Marmelo,,,,,,,,
2010,AP,1600279,Noz (fruto seco),,,,,,,,
2010,AP,1600279,Palmito,,,,,,,,
2010,AP,1600279,Pera,,,,,,,,
2010,AP,1600279,Pêssego,,,,,,,,
2010,AP,1600279,Pimenta-do-reino,,,,,,,,
2010,AP,1600279,Sisal ou agave (fibra),,,,,,,,
2010,AP,1600279,Tangerina,,,,,,,,
2010,AP,1600279,Tungue (fruto seco),,,,,,,,
2010,AP,1600279,Urucum (semente),,,,,,,,
2010,AP,1600279,Uva,,,,,,,,
2010,AP,1600303,Abacate,,,,,,,,
2010,AP,1600303,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600303,Açaí,,,,,,,,
2010,AP,1600303,Azeitona,,,,,,,,
2010,AP,1600303,Banana (cacho),138,138,492,3565,615,51.88,52.27,32.94
2010,AP,1600303,Borracha (látex coagulado),,,,,,,,
2010,AP,1600303,Borracha (látex líquido),,,,,,,,
2010,AP,1600303,Cacau (em amêndoa),,,,,,,,
2010,AP,1600303,Café (em grão) Total,,,,,,,,
2010,AP,1600303,Café (em grão) Arábica,,,,,,,,
2010,AP,1600303,Café (em grão) Canephora,,,,,,,,
2010,AP,1600303,Caju,,,,,,,,
2010,AP,1600303,Caqui,,,,,,,,
2010,AP,1600303,Castanha de caju,,,,,,,,
2010,AP,1600303,Chá-da-índia (folha verde),,,,,,,,
2010,AP,1600303,Coco-da-baía,,,,,,,,
2010,AP,1600303,Dendê (cacho de coco),,,,,,,,
2010,AP,1600303,Erva-mate (folha verde),,,,,,,,
2010,AP,1600303,Figo,,,,,,,,
2010,AP,1600303,Goiaba,,,,,,,,
2010,AP,1600303,Guaraná (semente),,,,,,,,
2010,AP,1600303,Laranja,80,80,720,9000,806,30.08,30.3,43.17
2010,AP,1600303,Limão,,,,,,,,
2010,AP,1600303,Maçã,,,,,,,,
2010,AP,1600303,Mamão,23,23,140,6086,217,8.65,8.71,11.62
2010,AP,1600303,Manga,,,,,,,,
2010,AP,1600303,Maracujá,25,23,126,5478,229,9.4,8.71,12.27
2010,AP,1600303,Marmelo,,,,,,,,
2010,AP,1600303,Noz (fruto seco),,,,,,,,
2010,AP,1600303,Palmito,,,,,,,,
2010,AP,1600303,Pera,,,,,,,,
2010,AP,1600303,Pêssego,,,,,,,,
2010,AP,1600303,Pimenta-do-reino,,,,,,,,
2010,AP,1600303,Sisal ou agave (fibra),,,,,,,,
2010,AP,1600303,Tangerina,,,,,,,,
2010,AP,1600303,Tungue (fruto seco),,,,,,,,
2010,AP,1600303,Urucum (semente),,,,,,,,
2010,AP,1600303,Uva,,,,,,,,
2010,AP,1600402,Abacate,,,,,,,,
2010,AP,1600402,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600402,Açaí,,,,,,,,
2010,AP,1600402,Azeitona,,,,,,,,
2010,AP,1600402,Banana (cacho),116,115,482,4191,602,59.18,59.59,45.57
2010,AP,1600402,Borracha (látex coagulado),,,,,,,,
2010,AP,1600402,Borracha (látex líquido),,,,,,,,
2010,AP,1600402,Cacau (em amêndoa),,,,,,,,
2010,AP,1600402,Café (em grão) Total,,,,,,,,
2010,AP,1600402,Café (em grão) Arábica,,,,,,,,
2010,AP,1600402,Café (em grão) Canephora,,,,,,,,
2010,AP,1600402,Caju,,,,,,,,
2010,AP,1600402,Caqui,,,,,,,,
2010,AP,1600402,Castanha de caju,,,,,,,,
2010,AP,1600402,Chá-da-índia (folha verde),,,,,,,,
2010,AP,1600402,Coco-da-baía,,,,,,,,
2010,AP,1600402,Dendê (cacho de coco),,,,,,,,
2010,AP,1600402,Erva-mate (folha verde),,,,,,,,
2010,AP,1600402,Figo,,,,,,,,
2010,AP,1600402,Goiaba,,,,,,,,
2010,AP,1600402,Guaraná (semente),,,,,,,,
2010,AP,1600402,Laranja,60,58,585,10086,577,30.61,30.05,43.68
2010,AP,1600402,Limão,,,,,,,,
2010,AP,1600402,Maçã,,,,,,,,
2010,AP,1600402,Mamão,,,,,,,,
2010,AP,1600402,Manga,,,,,,,,
2010,AP,1600402,Maracujá,20,20,92,4600,142,10.2,10.36,10.75
2010,AP,1600402,Marmelo,,,,,,,,
2010,AP,1600402,Noz (fruto seco),,,,,,,,
2010,AP,1600402,Palmito,,,,,,,,
2010,AP,1600402,Pera,,,,,,,,
2010,AP,1600402,Pêssego,,,,,,,,
2010,AP,1600402,Pimenta-do-reino,,,,,,,,
2010,AP,1600402,Sisal ou agave (fibra),,,,,,,,
2010,AP,1600402,Tangerina,,,,,,,,
2010,AP,1600402,Tungue (fruto seco),,,,,,,,
2010,AP,1600402,Urucum (semente),,,,,,,,
2010,AP,1600402,Uva,,,,,,,,
2010,AP,1600501,Abacate,,,,,,,,
2010,AP,1600501,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600501,Açaí,,,,,,,,
2010,AP,1600501,Azeitona,,,,,,,,
2010,AP,1600501,Banana (cacho),260,255,1155,4529,1547,38.81,38.52,21.59
2010,AP,1600501,Borracha (látex coagulado),,,,,,,,
2010,AP,1600501,Borracha (látex líquido),,,,,,,,
2010,AP,1600501,Cacau (em amêndoa),,,,,,,,
2010,AP,1600501,Café (em grão) Total,,,,,,,,
2010,AP,1600501,Café (em grão) Arábica,,,,,,,,
2010,AP,1600501,Café (em grão) Canephora,,,,,,,,
2010,AP,1600501,Caju,,,,,,,,
2010,AP,1600501,Caqui,,,,,,,,
2010,AP,1600501,Castanha de caju,,,,,,,,
2010,AP,1600501,Chá-da-índia (folha verde),,,,,,,,
2010,AP,1600501,Coco-da-baía,,,,,,,,
2010,AP,1600501,Dendê (cacho de coco),,,,,,,,
2010,AP,1600501,Erva-mate (folha verde),,,,,,,,
2010,AP,1600501,Figo,,,,,,,,
2010,AP,1600501,Goiaba,,,,,,,,
2010,AP,1600501,Guaraná (semente),,,,,,,,
2010,AP,1600501,Laranja,370,367,4203,11452,5295,55.22,55.44,73.91
2010,AP,1600501,Limão,,,,,,,,
2010,AP,1600501,Maçã,,,,,,,,
2010,AP,1600501,Mamão,20,20,102,5100,171,2.99,3.02,2.39
2010,AP,1600501,Manga,,,,,,,,
2010,AP,1600501,Maracujá,20,20,102,5100,151,2.99,3.02,2.11
2010,AP,1600501,Marmelo,,,,,,,,
2010,AP,1600501,Noz (fruto seco),,,,,,,,
2010,AP,1600501,Palmito,,,,,,,,
2010,AP,1600501,Pera,,,,,,,,
2010,AP,1600501,Pêssego,,,,,,,,
2010,AP,1600501,Pimenta-do-reino,,,,,,,,
2010,AP,1600501,Sisal ou agave (fibra),,,,,,,,
2010,AP,1600501,Tangerina,,,,,,,,
2010,AP,1600501,Tungue (fruto seco),,,,,,,,
2010,AP,1600501,Urucum (semente),,,,,,,,
2010,AP,1600501,Uva,,,,,,,,
2010,AP,1600535,Abacate,,,,,,,,
2010,AP,1600535,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600535,Açaí,,,,,,,,
2010,AP,1600535,Azeitona,,,,,,,,
2010,AP,1600535,Banana (cacho),130,130,492,3784,551,26.16,26.53,10.13
2010,AP,1600535,Borracha (látex coagulado),,,,,,,,
2010,AP,1600535,Borracha (látex líquido),,,,,,,,
2010,AP,1600535,Cacau (em amêndoa),,,,,,,,
2010,AP,1600535,Café (em grão) Total,,,,,,,,
2010,AP,1600535,Café (em grão) Arábica,,,,,,,,
2010,AP,1600535,Café (em grão) Canephora,,,,,,,,
2010,AP,1600535,Caju,,,,,,,,
2010,AP,1600535,Caqui,,,,,,,,
2010,AP,1600535,Castanha de caju,,,,,,,,
2010,AP,1600535,Chá-da-índia (folha verde),,,,,,,,
2010,AP,1600535,Coco-da-baía,,,,,,,,
2010,AP,1600535,Dendê (cacho de coco),,,,,,,,
2010,AP,1600535,Erva-mate (folha verde),,,,,,,,
2010,AP,1600535,Figo,,,,,,,,
2010,AP,1600535,Goiaba,,,,,,,,
2010,AP,1600535,Guaraná (semente),,,,,,,,
2010,AP,1600535,Laranja,300,295,4308,14603,4221,60.36,60.2,77.61
2010,AP,1600535,Limão,,,,,,,,
2010,AP,1600535,Maçã,,,,,,,,
2010,AP,1600535,Mamão,32,32,274,8562,407,6.44,6.53,7.48
2010,AP,1600535,Manga,,,,,,,,
2010,AP,1600535,Maracujá,35,33,186,5636,260,7.04,6.73,4.78
2010,AP,1600535,Marmelo,,,,,,,,
2010,AP,1600535,Noz (fruto seco),,,,,,,,
2010,AP,1600535,Palmito,,,,,,,,
2010,AP,1600535,Pera,,,,,,,,
2010,AP,1600535,Pêssego,,,,,,,,
2010,AP,1600535,Pimenta-do-reino,,,,,,,,
2010,AP,1600535,Sisal ou agave (fibra),,,,,,,,
2010,AP,1600535,Tangerina,,,,,,,,
2010,AP,1600535,Tungue (fruto seco),,,,,,,,
2010,AP,1600535,Urucum (semente),,,,,,,,
2010,AP,1600535,Uva,,,,,,,,
2010,AP,1600550,Abacate,,,,,,,,
2010,AP,1600550,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600550,Açaí,,,,,,,,
2010,AP,1600550,Azeitona,,,,,,,,
2010,AP,1600550,Banana (cacho),62,62,287,4629,330,67.39,67.39,60.55
